iter	Passed	Remaining
897	10472	1189
898	10475	1176
899	10479	1164
900	10482	1151
901	10485	1139
902	10488	1126
903	10492	1114
904	10496	1101
905	10499	1089
906	10503	1077
907	10507	1064
908	10511	1052
909	10514	1039
910	10518	1027
911	10522	1015
912	10526	1003
913	10531	990
914	10535	978
915	10539	966
916	10543	954
917	10548	942
918	10552	930
919	10556	917
920	10559	905
921	10562	893
922	10565	881
923	10569	869
924	10572	857
925	10577	845
926	10580	833
927	10585	821
928	10588	809
929	10592	797
930	10596	785
931	10600	773
932	10604	761
933	10609	749
934	10613	737
935	10617	725
936	10620	714
937	10624	702
938	10628	690
939	10631	678
940	10634	666
941	10639	655
942	10642	643
943	10646	631
944	10650	619
945	10653	608
946	10656	596
947	10659	584
948	10663	573
949	10666	561
950	10669	549
951	10673	538
952	10676	526
953	10679	514
954	10682	503
955	10686	491
956	10690	480
957	10693	468
958	10696	457
959	10700	445
960	10703	434
961	10706	422
962	10710	411
963	10713	400
964	10717	388
965	10720	377
966	10724	365
967	10728	354
968	10732	343
969	10736	332
970	10740	320
971	10744	309
972	10747	298
973	10751	286
974	10754	275
975	10757	264
976	10760	253
977	10764	242
978	10768	230
979	10771	219
980	10774	208
981	10777	197
982	10780	186
983	10784	175
984	10788	164
985	10792	153
986	10797	142
987	10801	131
988	10805	120
989	10810	109
990	10813	98
991	10817	87
992	10820	76
993	10823	65
994	10826	54
995	10830	43
996	10833	32
997	10836	21
998	10840	10
999	10843	0
